Comment,Designator,Footprint,LCSC
"10uF","C1,C2,C6","Capacitor_SMD:C_0805_2012Metric","C91245"
"22pF","C3,C4","Capacitor_SMD:C_0805_2012Metric","C1804"
"0.1uF","C5,C7","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C8","Capacitor_SMD:C_0805_2012Metric","C28323"
"1N4448","D0,0,D0,1,D0,2,D0,3,D1,0,D1,1,D1,2,D1,3,D2,0,D2,1,D2,2,D2,3,D3,0,D3,1,D3,2,D3,3,D4,0,D4,1,D4,2,D4,3,D5,0,D5,1,D5,2","keyboard_parts:D_SOD123","C2099"
"Polyfuse - 1A","F1","Fuse:Fuse_1206_3216Metric","C69688"
"2u stabilizer ","H1","keyswitches:Stabilizer_MX_2u",""
"USB_O-1","J1","usb-connector:GCT_USB1125-GF-B_REVA","C109354"
"USB_O-2","J2","usb-connector:GCT_USB1125-GF-B_REVA","C109354"
"USB_O-3","J3","usb-connector:GCT_USB1125-GF-B_REVA","C109354"
"USB-UPSTREAM","J4","usb-connector:GCT_USB1125-GF-B_REVA","C109354"
"USB_C_Receptacle_USB2.0","J5","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"KEYSW","K0,0,K0,1,K0,2,K0,3,K1,0,K1,1,K1,2,K1,3,K2,0,K2,1,K2,2,K2,3,K3,0,K3,1,K3,2,K3,3,K4,0,K4,1,K4,2,K4,3,K5,0,K5,1,K5,2","keyswitches:SW_MX",""
"YS-SK6812MINI-E","LED0,0,LED0,1,LED0,2,LED0,3,LED1,0,LED1,1,LED1,2,LED1,3,LED2,0,LED2,1,LED2,2,LED2,3,LED3,0,LED3,1,LED3,2,LED3,3,LED4,0,LED4,1,LED4,2,LED4,3,LED5,0,LED5,1,LED5,2","kbd:YS-SK6812MINI-E",""
"10k","R1,R9,R10","Resistor_SMD:R_0805_2012Metric","C17414"
"2,7k","R2","Resistor_SMD:R_0805_2012Metric","C17530"
"5,1k","R3,R4","Resistor_SMD:R_0805_2012Metric","C26023"
"22","R7,R8","Resistor_SMD:R_0805_2012Metric","C17561"
"SW_PUSH","SW1","Button_Switch_SMD:SW_SPST_TL3342","C318884"
"FE1.1s","U1","Package_SO:SSOP-28_3.9x9.9mm_P0.635mm","C9359"
"ATmega32U2-A","U2","Package_QFP:TQFP-32_7x7mm_P0.8mm","C618733"
"Crystal_GND24_Small","Y1,Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C93234"