Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,-104.53,-40.24,0,bottom
C2,10uF,C_0805_2012Metric,-104.54,-35.99,0,bottom
C3,22pF,C_0805_2012Metric,-168.04,-31.13,45,bottom
C4,22pF,C_0805_2012Metric,-169.49,-32.58,45,bottom
C5,0.1uF,C_0805_2012Metric,-137.18,-32.13,-90,bottom
C6,10uF,C_0805_2012Metric,-139.42,-32.14,-90,bottom
C7,0.1uF,C_0805_2012Metric,-134.98,-32.12,-90,bottom
C8,1uF,C_0805_2012Metric,-151.54,-33.19,45,bottom
"D0,0",1N4448,D_SOD123,-119.205,-56.5025,90,bottom
"D0,1",1N4448,D_SOD123,-138.255,-56.5025,90,bottom
"D0,2",1N4448,D_SOD123,-154.92375,-56.5025,90,bottom
"D0,3",1N4448,D_SOD123,-159.68625,-56.5025,90,bottom
"D1,0",1N4448,D_SOD123,-119.205,-75.5525,-90,bottom
"D1,1",1N4448,D_SOD123,-138.255,-75.5525,-90,bottom
"D1,2",1N4448,D_SOD123,-154.92375,-75.5525,-90,bottom
"D1,3",1N4448,D_SOD123,-159.68625,-75.5525,-90,bottom
"D2,0",1N4448,D_SOD123,-119.205,-104.1275,90,bottom
"D2,1",1N4448,D_SOD123,-138.255,-104.1275,90,bottom
"D2,2",1N4448,D_SOD123,-154.92375,-104.1275,90,bottom
"D2,3",1N4448,D_SOD123,-159.68625,-104.1275,90,bottom
"D3,0",1N4448,D_SOD123,-119.205,-113.6525,-90,bottom
"D3,1",1N4448,D_SOD123,-138.255,-113.6525,-90,bottom
"D3,2",1N4448,D_SOD123,-154.92375,-113.6525,-90,bottom
"D3,3",1N4448,D_SOD123,-159.68625,-113.6525,-90,bottom
"D4,0",1N4448,D_SOD123,-119.205,-142.2275,90,bottom
"D4,1",1N4448,D_SOD123,-138.255,-142.2275,90,bottom
"D4,2",1N4448,D_SOD123,-157.305,-142.2275,90,bottom
"D4,3",1N4448,D_SOD123,-160.54,-147.56,0,bottom
"D5,0",1N4448,D_SOD123,-119.205,-151.7525,-90,bottom
"D5,1",1N4448,D_SOD123,-138.255,-151.7525,-90,bottom
"D5,2",1N4448,D_SOD123,-157.31,-152.38,-90,bottom
F1,Polyfuse - 1A,Fuse_1206_3216Metric,-114.68,-29.415,0,bottom
G***,LOGO,vial_logo,-130,-62.89,180,bottom
G***,LOGO,qmk,-130,-68.74,180,bottom
"LED0,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-56.5025,180,bottom
"LED0,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-56.5025,180,bottom
"LED0,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-56.5025,180,bottom
"LED0,3",YS-SK6812MINI-E,YS-SK6812MINI-E,-166.83,-56.5025,180,bottom
"LED1,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-85.0775,0,bottom
"LED1,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-85.0775,0,bottom
"LED1,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-85.0775,0,bottom
"LED1,3",YS-SK6812MINI-E,YS-SK6812MINI-E,-166.83,-85.0775,0,bottom
"LED2,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-166.83,-104.1275,180,bottom
"LED2,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-104.1275,180,bottom
"LED2,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-104.1275,180,bottom
"LED2,3",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-104.1275,180,bottom
"LED3,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-123.1775,0,bottom
"LED3,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-123.1775,0,bottom
"LED3,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-123.1775,0,bottom
"LED3,3",YS-SK6812MINI-E,YS-SK6812MINI-E,-166.83,-123.1775,0,bottom
"LED4,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-171.5925,-146.99,-90,bottom
"LED4,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-142.2275,180,bottom
"LED4,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-142.2275,180,bottom
"LED4,3",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-142.2275,180,bottom
"LED5,0",YS-SK6812MINI-E,YS-SK6812MINI-E,-109.68,-161.2775,0,bottom
"LED5,1",YS-SK6812MINI-E,YS-SK6812MINI-E,-128.73,-161.2775,0,bottom
"LED5,2",YS-SK6812MINI-E,YS-SK6812MINI-E,-147.78,-161.2775,0,bottom
R1,10k,R_0805_2012Metric,-104.54,-32.86,180,bottom
R2,"2,7k",R_0805_2012Metric,-104.53,-38.04,180,bottom
R3,"5,1k",R_0805_2012Metric,-119.32,-28.81,0,bottom
R4,"5,1k",R_0805_2012Metric,-106.18,-28.85,180,bottom
R7,22,R_0805_2012Metric,-145.02,-32.85,180,bottom
R8,22,R_0805_2012Metric,-145.02,-30.81,0,bottom
R9,10k,R_0805_2012Metric,-150.9,-38.53,-45,bottom
R10,10k,R_0805_2012Metric,-163.504765,-40.975235,-135,bottom
SW1,SW_PUSH,SW_SPST_TL3342,-138.18,-38.69,180,bottom
U1,FE1.1s,SSOP-28_3.9x9.9mm_P0.635mm,-111.8,-35.22,90,bottom
U2,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-158.22,-36.41,-135,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-116.63,-40.94,-90,bottom
Y2,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-163.47,-30.66,-45,bottom
